346F3,348F3,bcutv8,GATSp5,GATSp7,GATSp6,GATSp8,Tac,bcutm8,ATSp8,SIC3,Shet,S9,MATSe6,GATSe7,bcutp10,MATSv7,MATSv6,GATSe8,GATSe6,Rpc,MATSm7,Smax11,DS,Smin16,S17,GATSm6,QHss,VSAEstate8,GATSm7,IC3,Smin8,label
-4.76,-3.005,1.291,1.548,3.13,1.935,0,2.846,1.724,0,0.912,24.45,0.386,-0.608,3.404,1.685,-1.126,-0.641,0,1.906,0.225,-1.141,1.968,11.421,0.968,2.088,1.908,0.14,34.833,3.39,4.287,0.386,2
-4.76,-3.005,1.291,1.287,1.071,1.608,2.599,3.486,1.724,0.647,0.932,29.524,0.312,-0.454,1.024,1.683,0.654,-0.412,2.743,1.676,0.184,0.736,1.825,11.495,0.708,1.569,1.672,0.152,38.333,1.027,4.431,0.312,2
-4.76,-3.005,1.291,1.56,1.272,1.61,0,3.439,1.724,0.602,0.948,44.661,0.08,-0.69,1.562,1.698,-0.124,-0.693,0,1.605,0.186,-0.292,1.607,11.587,-0.065,0.476,1.606,0.14,48.833,1.542,4.404,0.08,2
-4.76,-3.005,1.285,1.433,1.449,2.801,0,2.721,1.722,0,0.923,27.791,0.344,-0.243,3.307,1.667,-0.575,-1.257,0,1.941,0.235,0.037,1.875,11.451,0.895,1.809,1.478,0.138,31.363,0.023,4.176,0.344,1
-4.76,-3.005,1.289,1.542,3.13,2.532,0,2.845,1.72,0,0.84,24.517,0.391,-0.875,3.404,1.677,-1.126,-0.883,0,2.655,0.225,-1.141,1.948,11.445,0.998,2.08,2.649,0.14,34.833,3.39,3.95,0.391,1
-4.76,-3.005,1.289,1.428,0.487,1.419,0,3.628,1.723,0,0.857,61.718,-0.342,-0.503,0.518,1.678,1.161,-0.462,0,1.473,0.229,0.888,1.416,17.003,-0.841,-0.948,1.402,0.138,20.548,0.657,4.027,-0.342,0
-4.76,-3.005,1.287,1.548,1.935,2,3.13,2.846,1.719,0.647,0.814,24.405,0.385,-0.635,1.906,1.689,-0.641,-0.647,3.404,2.062,0.225,-0.612,1.948,11.403,0.959,2.119,2.059,0.14,34.833,1.908,3.825,0.385,0
-4.76,-3.005,1.337,0.675,2.98,1.616,0,3.516,1.729,0.346,0.945,35.65,0.269,-0.618,2.361,1.667,-1.223,-0.359,0,1.671,0.182,-0.178,1.721,11.5,0.193,1.693,1.558,0.22,37.952,2.213,4.335,0.269,1
-4.76,-3.005,1.27,1.363,2.143,2.424,5.125,2.736,1.762,0.754,0.942,35.976,0.2,-0.147,1.912,1.66,-0.648,-0.759,0.099,1.528,0.234,-0.457,1.674,11.533,0.439,1.641,1.098,0.134,29.193,1.872,4.263,0.2,1
-4.76,-3.005,1.223,1.539,5.313,1.601,0,2.61,1.666,0,0.954,29.042,0.394,-0.95,0.743,1.462,-3.398,-0.568,0,2.32,0.246,-0.704,1.884,11.337,0.983,1.979,1.945,0.13,27.625,5.287,4.122,0.394,1
-4.76,-3.005,1.184,0.605,0.726,0.339,0.61,3.619,1.67,0.843,0.902,37.913,0.7,0.145,1.562,1.66,-0.382,0.236,1.338,0.786,0.177,0.012,0,11.373,0,0,0.073,0.161,36.72,0.146,4.137,0.301,0
-4.76,-3.005,1.298,1.003,1.428,0.85,1.937,3.487,1.726,1.491,0.869,29.204,0.423,-0.12,1.365,1.748,-0.48,-0.151,1.938,0.755,0.185,-0.451,1.909,11.38,1.005,1.005,0.761,0.154,38.167,1.369,4.134,0.032,0
-4.76,-3.005,2.241,1.269,0.726,1.502,0.788,4.911,2.453,2.453,0.925,49.435,2.162,-0.122,0.877,1.835,0.126,-0.394,1.045,1.076,0.166,-0.069,1.814,12.45,0.549,1.287,0.988,0.184,51.674,0.769,4.922,0.107,0
-4.76,-3.005,1.621,1.005,1.497,0.966,3.31,3.207,2.13,1.553,0.969,31.405,0.33,-0.203,2.435,1.791,-0.322,0.153,2.148,1.66,0.2,-0.137,1.95,11.653,0.928,1.91,0.689,0.169,37.057,1.179,4.607,0.33,0
-4.76,-3.005,1.248,1.011,1.449,3.103,0,2.702,1.695,0,0.923,27.94,-0.053,-0.217,3.307,1.635,-0.575,-1.391,0,2.105,0.226,0.037,1.862,11.285,0.824,1.675,1.688,0.138,31.419,0.023,4.176,-0.053,0
-4.76,-3.005,1.18,1.506,0,1.412,0,3.7,1.381,0,0.878,41.627,0.491,-0.663,0,1.588,1.51,-0.553,0,1.566,0.173,1.594,0,11.19,0,0,1.556,0.214,39.167,0,3.914,-0.027,0
-4.76,-3.005,1.284,0.694,3.26,0.966,8.232,2.707,1.722,1.325,0.885,26.597,0.381,-0.651,1.892,1.656,-0.626,-0.091,3.202,2.076,0.237,-0.46,1.935,11.404,0.954,2.084,0.945,0.138,31.628,3.237,4.002,0.381,0
-4.76,-3.005,2.039,1.3,2.717,1.45,3.358,3.334,2.033,0.647,0.941,28.158,0.347,-0.092,3.04,1.793,-0.958,-0.039,3.898,1.571,0.192,-0.968,2.006,11.681,0.961,2.092,1.562,0.171,40.667,3.022,4.615,0.347,0
-4.76,-3.005,2.023,0.965,0.552,0.933,1.043,4.304,2.096,2.186,0.919,43.096,3.257,-0.145,0.593,1.756,0.326,-0.115,1.108,0.944,0.149,0.273,0,12.696,0,0,0.944,0.171,48.333,0.588,4.856,0.434,0
-4.76,-3.005,1.936,1.12,0.96,1.445,0.997,4.324,1.969,1.373,0.847,34.906,0.26,-0.431,0.979,1.695,0.409,-0.4,0.939,1.487,0.148,0.406,1.768,11.619,0.567,1.972,1.485,0.162,43.5,0.977,4.196,0.26,0
-4.76,-3.005,2.163,0.725,1.449,0.334,1.739,3.414,2.098,2.088,0.844,27.044,4.232,0.473,1.526,1.832,-0.371,0.543,1.831,0.341,0.187,-0.366,2.151,11.474,1.384,2.769,0.338,0.151,40.833,1.522,4.329,0.544,0
-4.76,-3.005,2.414,1.1,1.089,0.958,0.511,4.549,2.331,2.338,0.827,44.575,0.144,-0.08,1.193,1.844,-0.074,-0.05,0.501,0.998,0.184,-0.121,1.833,13.375,0.705,0.705,0.995,0.151,56.523,1.187,4.457,0.144,0
-4.76,-3.005,1.244,1.407,3.13,2,0,2.863,1.722,0,0.84,25.07,0.35,-0.635,3.404,1.727,-1.126,-0.647,0,2.062,0.226,-1.141,1.887,11.88,0.94,0.94,2.059,0.14,35.083,3.39,3.95,0.35,0
-4.76,-3.005,1.92,1.311,2.039,1.668,2.766,3.056,1.932,1.491,0.872,24.867,0.361,-0.399,2.015,1.748,-0.562,-0.419,2.861,1.649,0.21,-0.537,2.024,11.607,0.952,0.952,1.65,0.15,40.5,2.017,4.237,0.361,0
-4.76,-3.005,2.591,1.287,1.196,1.481,1.089,5.426,2.735,2.865,0.848,44.932,2.4,-0.348,1.174,1.889,-0.074,-0.345,1.162,1.46,0.15,-0.096,2.093,12.977,1.175,4.733,1.462,0.2,66.167,1.175,4.81,0.281,0
-4.76,-3.005,2.088,1.185,1.756,1.251,1.169,3.979,2.14,1.373,0.943,33.261,0.294,-0.183,1.919,1.793,-0.434,-0.143,1.172,1.306,0.161,-0.478,1.893,11.723,0.738,1.621,1.302,0.183,44.167,1.91,4.672,0.294,0
-4.76,-3.005,1.432,1.306,1.175,1.358,1.527,4.519,1.726,1.654,0.895,70.846,0.607,-0.489,1.229,1.701,-0.313,-0.512,1.512,1.322,0.208,-0.394,0,16.56,0,0,1.271,0.156,27.369,1.242,4.349,-0.148,0
-4.76,-3.005,1.264,1.285,0.437,1.295,2.618,3.017,1.388,0.647,0.885,26.881,3.342,-0.438,0.569,1.665,0.686,-0.384,2.991,1.339,0.212,0.562,0,11.13,0,0,1.338,0.147,30.5,0.556,4.208,0.566,0
-4.76,-3.005,1.287,1.284,0.366,2.263,0,2.711,1.722,0,0.923,26.677,0.383,-0.839,3.427,1.666,-0.229,-1.166,0,2.617,0.236,0.058,1.935,11.446,0.984,2.037,1.537,0.138,31.732,0.008,4.176,0.383,0
-4.76,-3.005,1.756,1.247,0.999,1.097,0.89,4.255,1.852,1.114,0.907,65.299,-0.274,-0.075,0.995,1.705,0.113,-0.065,1.192,1.177,0.151,0.179,1.138,12.046,-0.513,-0.907,1.172,0.137,64.5,0.997,4.31,-0.274,0
-4.76,-3.005,1.298,0.913,1.825,1.087,2.476,3.039,1.723,1.491,0.842,24.233,0.351,-0.212,1.8,1.757,-0.547,-0.24,2.556,0.996,0.211,-0.523,1.947,11.352,1.046,1.046,1.002,0.149,37.167,1.802,4.004,0.351,0
-4.76,-3.005,1.265,1.319,0.781,1.354,1.812,3.598,1.452,0.974,0.918,36.115,2.514,-0.539,0.897,1.662,0.159,-0.513,2.077,1.375,0.178,0.063,0,11.196,0,0,1.375,0.173,37.5,0.887,4.316,0.454,0
-4.76,-3.005,1.557,1.31,1.878,1.321,1.257,3.426,1.738,0.788,0.969,40.72,0.179,-0.281,2.035,1.793,-0.507,-0.233,1.343,1.347,0.187,-0.454,1.66,14.093,-0.35,0.363,1.213,0.169,33.638,2.003,4.607,0.179,0
-4.76,-3.005,1.244,1.204,2.416,1.675,0.139,2.997,1.723,0.254,0.863,37.518,0.183,-0.574,2.802,1.728,-0.581,-0.623,0.318,1.62,0.216,-0.707,1.531,13.838,-0.345,0.363,1.477,0.137,30.219,3.131,4.056,0.183,0
-4.76,-3.005,1.287,1.216,1.679,1.503,1.567,3.622,1.722,1.241,0.814,60.772,0.007,-0.569,1.636,1.69,-0.725,-0.627,1.822,1.43,0.23,-0.628,1.228,16.573,-0.764,-0.303,1.311,0.138,21.509,1.595,3.825,0.007,0
-4.76,-3.005,1.472,1.354,0.749,1.359,1.367,4.306,1.727,1.371,0.858,37.92,2.438,-0.493,0.707,1.711,0.211,-0.505,1.414,1.329,0.149,0.225,0,11.249,0,0,1.333,0.231,38.667,0.706,4.168,0.454,0
-4.76,-3.005,1.29,1.404,1.61,1.778,0.307,3.486,1.724,1.111,0.869,29.434,0.333,-0.643,1.789,1.686,-0.271,-0.657,0.164,1.796,0.184,-0.367,1.807,11.462,0.748,1.637,1.796,0.152,38.333,1.778,4.134,0.333,0
-4.76,-3.005,1.609,1.282,1.9,1.396,1.364,4.002,1.777,0.843,0.97,37.183,0.235,-0.272,2.072,1.793,-0.555,-0.215,1.507,1.507,0.16,-0.6,1.737,11.677,0.15,0.943,1.499,0.255,44.667,2.061,4.664,0.235,0
-4.76,-3.005,1.266,0.962,0.639,1.452,0,4.406,1.501,0.346,0.927,42.015,0.338,-0.699,1.107,1.647,0.199,-0.707,0,1.431,0.145,0.002,0,11.257,0,0,1.435,0.277,40.167,1.073,4.252,0.16,0
-4.76,-3.005,1.409,1.159,0.524,1.136,2.755,3.012,1.719,1.036,0.813,26.143,3.454,-0.29,0.527,1.708,0.496,-0.23,3.163,1.18,0.212,0.429,0,11.195,0,0,1.178,0.137,32,0.523,3.99,0.573,0
-4.76,-3.005,2.608,1.617,1.067,1.478,0.393,5.158,2.617,2.705,0.856,46.54,0.333,-0.431,1.129,1.921,-0.13,-0.433,0.369,1.498,0.199,-0.163,1.875,12.656,0.315,1.92,1.498,0.17,61.667,1.126,4.553,0.13,0
-4.76,-3.005,1.305,0.753,0.96,0.571,1.302,3.088,1.727,1.491,0.869,25.841,1.256,-0.211,1.833,1.719,-0.5,-0.228,2.603,1.014,0.208,-0.006,2.013,11.343,1.19,1.19,0.077,0.146,34.963,0.138,4.134,0.449,0
-4.76,-3.005,2.361,1.361,0.65,1.2,0.887,5.553,2.617,2.482,0.903,63.855,1.873,-0.322,0.639,1.837,0.33,-0.304,1.022,1.211,0.147,0.332,1.513,12.478,-0.03,0.607,1.21,0.186,69.5,0.639,4.869,0.008,0
-4.76,-3.005,1.291,1.497,2.273,1.836,0.298,2.985,1.724,0.45,0.945,33.013,0.241,-0.637,2.489,1.681,-0.748,-0.674,0.921,1.847,0.215,-0.82,1.754,11.503,0.514,1.277,1.847,0.138,41.333,2.478,4.335,0.241,0
-4.76,-3.005,1.082,0.782,0,0.733,0,3.857,1.408,0,0.907,42.53,0.016,-0.738,0,1.535,1.487,-0.488,0,1.663,0.166,0.009,0,11.198,0,0,0.176,0.216,38.508,0,3.922,-0.11,0
-4.76,-3.005,1.082,0.684,0.113,0.718,0,3.073,1.203,0,0.898,30.272,1.768,-0.769,0.783,1.596,1.178,-0.564,0,1.678,0.209,-0.028,0,11.078,0,0,0.119,0.158,28.874,0.052,4.005,0.437,0
-4.76,-3.005,1.482,1.379,2.273,1.536,2.728,3.405,1.723,0.647,0.967,31.367,0.124,-0.289,2.403,1.777,-0.853,-0.186,2.884,1.71,0.195,-0.863,1.909,11.845,0.82,0.82,1.699,0.19,41,2.397,4.547,0.124,0
-4.76,-3.005,1.717,0.649,2.668,1.516,0,3.527,2.087,0.346,0.891,38.145,0.265,-0.52,2.553,1.653,-1.306,-0.329,0,1.501,0.182,-0.339,1.737,11.583,0.226,2.444,1.471,0.216,37.011,1.916,4.085,0.265,0
-4.76,-3.005,1.831,1.068,0.585,1.024,2.9,3.913,1.804,1.316,0.75,25.154,3.565,-0.194,0.518,1.775,0.387,-0.133,3.341,1.069,0.13,0.349,0,11.259,0,0,1.067,0.213,32.581,0.519,3.814,0.579,0
-4.76,-3.005,1.541,0.794,3.126,1.572,0,3.549,2.085,0.346,0.891,40.319,0.215,-0.605,1.513,1.661,-1.346,-0.404,0,1.525,0.18,-0.28,1.642,11.589,0.086,1.832,1.472,0.216,36.347,1.844,4.085,0.215,0
-4.76,-3.005,1.88,1.709,0.857,0.678,0.859,3.776,1.958,1.87,0.929,46.592,0.597,-0.265,1.408,1.72,-0.465,-0.294,1.654,1.071,0.17,-0.013,1.708,11.774,0.045,0.615,0.133,0.143,50.903,0.174,4.513,0.224,0
-4.76,-3.005,1.273,1.31,0.221,0.934,0,3.635,1.542,0,0.879,37.671,0.74,0.291,0.64,1.635,0.753,0.209,0,0.915,0.176,0.47,0,11.209,0,0,0.917,0.203,35.833,0.608,4.084,0.145,0
-4.76,-3.005,1.072,1.374,2.047,1.82,0.132,2.935,1.497,0.254,0.885,36.599,0.218,-0.697,2.361,1.672,-0.458,-0.759,0.301,1.756,0.218,-0.545,1.526,13.487,-0.34,0.379,1.597,0.138,28.398,2.532,4.002,0.218,0
-4.76,-3.005,1.556,1.347,2.039,1.321,2.294,3.429,1.74,0.886,0.969,40.546,0.223,-0.281,2.055,1.793,-0.824,-0.233,2.764,1.347,0.187,-0.682,1.66,13.943,-0.33,0.452,1.213,0.169,33.769,1.886,4.607,0.223,0
-4.76,-3.005,1.419,1.354,0.875,1.382,1.459,4.201,1.726,1.298,0.911,41.325,2.217,-0.542,0.917,1.69,0.029,-0.545,1.604,1.366,0.152,-0.011,0,11.254,0,0,1.369,0.208,41.167,0.912,4.379,0.412,0
-4.76,-3.005,1.287,1.433,1.728,1.789,0.924,3.434,1.722,1.114,0.856,44.457,0.16,-0.781,1.75,1.704,-0.79,-0.812,1.257,1.783,0.187,-0.809,1.501,11.535,-0.025,0.637,1.784,0.14,48.833,1.75,3.974,0.16,0
-4.76,-3.005,2.314,1.181,0.753,1.034,0.146,4.086,2.547,2.306,0.851,30.581,0.823,-0.173,0.841,1.901,0.129,-0.174,0.078,1.051,0.157,0.077,2,11.672,0.751,2.734,1.05,0.17,49.5,0.836,4.432,0.314,0
-4.76,-3.005,2.237,1.419,0.803,1.258,0.876,4.92,2.439,2.34,0.893,43.427,2.389,-0.336,0.838,1.835,0.103,-0.331,1.02,1.231,0.165,0.055,1.894,12.369,0.926,0.926,1.233,0.188,53.833,0.835,4.753,0.233,0
-4.76,-3.005,1.27,1.358,1.434,0.86,0.118,4.095,1.613,0.684,0.914,40.977,1.197,-0.035,1.562,1.651,-0.579,0.005,0.35,0.893,0.156,-0.636,0,11.224,0,0,0.888,0.207,39.667,1.555,4.244,0.329,0
-4.76,-3.005,2.324,1,0.645,0.852,0.198,4.096,2.617,2.527,0.886,42.792,0.526,-0.25,1.021,1.876,0.154,-0.118,0.373,1.116,0.156,-0.203,1.784,11.739,0.552,3.303,1.108,0.162,44.908,1.336,4.615,0.256,0
-4.76,-3.005,2.224,1.016,0.658,1.002,1.034,4.454,2.331,2,0.79,43.122,2.204,-0.214,0.731,1.786,0.209,-0.183,1.198,1.021,0.183,0.14,0,12.207,0,0,1.02,0.164,47.917,0.726,4.176,0.408,0
-4.76,-3.005,2.517,1.22,1.325,0.821,0.895,5.991,2.628,2.762,0.89,58.387,6.696,-0.2,0.885,1.796,-0.093,-0.156,1.238,1.037,0.107,0.187,0,12.75,0,0,0.739,0.229,62.278,0.973,5.096,0.428,0
-4.76,-3.005,1.069,1.746,0,2.444,0,2.85,0.967,0,0.842,28.68,0,-1,0,1.603,0,-1,0,2.444,0.238,0,1.765,12.362,0.387,0.387,2.444,0.155,35.583,0,3.754,0,0
-4.76,-3.005,1.532,1.369,1.343,1.411,3.02,3.489,1.732,0.647,0.967,31.861,0.307,-0.185,1.682,1.791,0.153,-0.09,3.654,1.661,0.184,0.057,1.892,11.603,0.882,0.882,1.644,0.172,40,1.657,4.547,0.307,0
-4.76,-3.005,1.475,1.19,1.171,0.642,0.401,4.183,1.721,1.325,0.895,35.832,1.674,0.29,1.212,1.711,-0.343,0.292,0.733,0.606,0.153,-0.394,0,11.265,0,0,0.606,0.212,37.667,1.211,4.349,0.43,0
-4.76,-3.005,1.286,1.571,1.793,2.049,0.283,3.373,1.714,0.45,0.856,29.795,0.329,-0.799,1.87,1.685,-0.542,-0.825,0.873,2.137,0.19,-0.619,1.776,11.41,0.66,1.539,2.133,0.187,36.833,1.867,3.974,0.329,0
-4.76,-3.005,1.288,1.355,4.044,1.955,0,2.765,1.724,0,0.942,30.061,0.301,-0.602,1.509,1.665,-1.126,-0.641,0,1.821,0.232,0.338,1.8,11.431,0.593,1.428,1.617,0.138,31.225,2.368,4.263,0.301,0
-4.76,-3.005,1.803,0.753,1.845,1.51,2.503,3.205,1.879,1.491,0.926,29.126,0.25,-0.412,1.94,1.748,-0.583,-0.42,2.754,1.587,0.2,-0.57,1.962,11.619,0.702,0.702,1.583,0.146,41.5,1.935,4.45,0.25,0
-4.76,-3.005,2.146,1.194,0.552,0.933,1.043,4.272,2.281,2.186,0.944,42.548,2.284,-0.145,0.593,1.822,0.326,-0.115,1.108,0.944,0.15,0.273,1.695,12.571,0.514,0.514,0.944,0.178,49.833,0.588,4.844,0.415,0
-4.76,-3.005,1.044,1.472,0,0.233,0,2.904,1.03,0,0.892,28.558,1.639,0.638,0,1.552,0,0.944,0,0.7,0.22,0,0,10.994,0,0,0.663,0.155,28.5,0,3.916,0.464,0
-4.76,-3.005,1.069,1.63,2.444,2.037,0,2.917,1.041,0,0.87,27.627,0.163,-0.778,2.444,1.641,-1,-0.778,0,2.037,0.228,-1,1.844,11.552,0.826,0.826,2.037,0.16,35.167,2.444,3.88,0.163,0
-4.76,-3.005,2.015,1.327,2.148,1.44,1.419,3.695,2.088,0.843,0.957,37.285,0.205,-0.287,2.356,1.815,-0.664,-0.248,1.57,1.516,0.173,-0.707,1.846,11.917,0.766,0.766,1.511,0.162,46.07,2.344,4.651,0.205,0
-4.76,-3.005,2.414,1.015,0.773,0.949,0.89,5.164,2.331,2.23,0.793,51.302,0.006,-0.171,0.792,1.795,0.071,-0.146,0.994,0.963,0.158,0.03,0,12.415,0,0,0.963,0.169,59.083,0.79,4.221,-0.037,0
-4.76,-3.005,1.202,1.355,2.28,1.758,5.451,2.764,1.72,0.754,0.885,29.984,0.326,-0.807,2.012,1.663,-0.641,-0.647,0.104,2.038,0.232,-0.474,1.769,11.41,0.632,1.506,1.059,0.138,31.281,3.127,4.002,0.326,0
-4.76,-3.005,1.088,1.309,2.111,1.213,0,2.938,1.499,0,0.923,37.07,0.016,0.391,1.992,1.671,-0.993,0.267,0,1.131,0.218,-0.728,1.646,14.087,-0.417,-0.086,1.027,0.138,27.868,1.527,4.176,0.016,0
-4.76,-3.005,1.995,1.3,2.076,1.439,3.358,3.331,1.972,1.036,0.927,28.141,0.346,-0.06,2.182,1.797,-0.694,0.012,3.898,1.625,0.192,-0.678,2.014,11.664,0.952,2.098,1.612,0.17,40.667,2.177,4.548,0.346,0
-4.76,-3.005,1.431,1.197,0.674,1.204,1.444,3.586,1.726,1.452,0.895,37.021,2.519,-0.388,0.779,1.698,0.27,-0.353,1.548,1.228,0.178,0.176,0,11.392,0,0,1.228,0.159,39.167,0.77,4.349,0.453,0
-4.76,-3.005,2.27,1.412,1.311,1.66,1.585,3.109,2.331,1.915,0.725,24.78,0.375,-0.394,1.295,1.747,-0.283,-0.4,1.375,1.717,0.206,-0.27,2.032,11.563,0.961,2.197,1.714,0.143,40.083,1.297,3.721,0.375,0
-4.76,-3.005,1.618,0.861,2.171,0.966,5.419,3.273,2.108,1.248,0.969,31.491,0.325,-0.203,2.131,1.789,-0.575,0.153,2.32,1.66,0.196,-0.208,1.945,11.666,0.922,1.881,0.689,0.168,37.032,1.989,4.607,0.325,0
-4.76,-3.005,1.375,1.53,1.209,1.591,0,4.35,1.729,0.806,0.951,53.728,-0.031,-0.704,1.458,1.702,-0.228,-0.715,0,1.571,0.147,-0.383,1.394,11.676,-0.463,-0.535,1.574,0.221,54.5,1.441,4.47,-0.031,0
-4.76,-3.005,1.872,1.278,0.708,1.068,1.114,4.614,1.936,1.854,0.919,42.267,2.343,-0.27,0.786,1.723,0.169,-0.241,1.287,1.085,0.176,0.098,0,11.909,0,0,1.085,0.178,47.167,0.78,4.676,0.176,0
-4.76,-3.005,1.543,1.462,0.96,1.758,0,3.898,1.838,0,0.885,40.687,0.092,-0.618,1.214,1.681,1.078,-0.569,0,1.863,0.164,1.055,1.705,12.11,0.314,0.87,1.857,0.189,45.5,1.197,4.208,0.092,0
-4.76,-3.005,1.105,1.184,1.768,0.835,0,3.14,1.609,0,0.885,49.936,-0.353,0.574,1.579,1.671,-0.923,0.514,0,0.765,0.204,-0.59,1.209,14.276,-0.776,-1.842,0.728,0.134,22.529,1.118,4.002,-0.353,0
-4.76,-3.005,1.628,1.372,2.171,0.966,5.419,3.204,2.073,1.248,0.969,31.434,0.325,-0.203,2.131,1.793,-0.575,0.153,2.32,1.66,0.2,-0.208,1.954,11.666,0.922,1.885,0.689,0.169,37.069,1.989,4.607,0.325,0
-4.76,-3.005,2.241,1.044,0.95,0.906,1.516,4.163,2.462,2.451,0.874,47.28,1.708,-0.318,0.608,1.826,0.251,-0.244,0.842,1.222,0.154,-0.063,1.737,15.41,0.227,1.219,0.762,0.166,36.404,1.425,4.653,0.266,0
-4.76,-3.005,1.279,0.979,2.874,1.3,7.962,2.717,1.722,0.946,0.885,27.668,0.364,-0.804,1.88,1.66,-0.662,-0.272,0.755,2.132,0.236,-0.462,1.865,11.406,0.929,1.901,0.959,0.138,31.318,3.225,4.002,0.364,0
-4.76,-3.005,1.97,1.236,2.076,1.439,3.358,3.33,1.932,1.036,0.941,28.1,0.346,-0.06,2.182,1.794,-0.694,0.012,3.898,1.625,0.192,-0.678,2.037,11.664,0.952,2.103,1.612,0.171,40.667,2.177,4.615,0.346,0
-4.76,-3.005,2.359,1.069,0.765,0.836,0.92,5.338,2.598,2.563,0.882,56.235,0.806,-0.191,0.947,1.833,-0.12,-0.165,0.731,1.042,0.12,-0.092,1.676,15.782,0.087,1.027,0.674,0.231,43.656,0.756,4.755,0.184,0
-4.76,-3.005,2.308,1.074,0.984,1.095,1.104,3.781,2.484,2.227,0.809,37.081,0.245,-0.197,0.975,1.873,-0.16,-0.198,1.149,1.113,0.169,-0.155,1.854,13.202,0.573,1.996,1.112,0.157,53.167,0.976,4.15,0.245,0
-4.76,-3.005,1.851,1.184,0.839,1.188,1.486,5.068,1.852,1.803,0.866,51.102,2.658,-0.353,0.878,1.765,0.045,-0.344,1.473,1.179,0.127,0.001,0,11.402,0,0,1.18,0.267,50,0.874,4.444,0.209,0
1.33,-3.005,1.473,1.424,1.398,2.475,1.875,2.898,1.756,0.647,0.951,26.494,0.388,-0.396,2.748,1.739,-0.734,-0.803,3.89,1.999,0.221,-0.079,2.024,11.593,1.019,1.019,0.99,0.143,36.714,0.209,4.47,0.388,2
1.33,-3.005,1.291,0.694,4.299,1.743,0,2.708,1.724,0,0.942,26.625,0.381,-0.614,3.315,1.659,-2.189,-0.385,0,1.905,0.237,-0.29,1.955,11.421,0.96,2.05,1.621,0.138,31.682,3.069,4.263,0.381,2
1.33,-3.005,1.29,0.979,4.706,1.885,0,2.717,1.724,0,0.942,27.712,0.356,-0.636,2.031,1.663,-2.17,-0.504,0,1.866,0.236,-0.174,1.885,11.424,0.921,1.854,1.619,0.138,31.35,2.943,4.263,0.356,2
1.33,-3.005,1.97,1.236,2.076,1.439,3.358,3.33,1.932,1.036,0.941,28.1,0.346,-0.06,2.182,1.794,-0.694,0.012,3.898,1.625,0.192,-0.678,2.037,11.664,0.952,2.103,1.612,0.171,40.667,2.177,4.615,0.346,2
1.33,-3.005,1.291,1.469,1.581,1.437,0.103,3.623,1.724,0.625,0.912,61.139,-0.126,-0.526,1.743,1.687,-0.494,-0.601,0.216,1.331,0.23,-0.578,1.415,16.744,-0.803,-0.549,1.214,0.138,21.134,1.744,4.287,-0.126,2
1.33,-3.005,1.291,1.548,3.13,1.935,0,2.846,1.724,0,0.912,24.45,0.386,-0.608,3.404,1.685,-1.126,-0.641,0,1.906,0.225,-1.141,1.968,11.421,0.968,2.088,1.908,0.14,34.833,3.39,4.287,0.386,2
1.33,-3.005,1.291,1.287,1.071,1.608,2.599,3.486,1.724,0.647,0.932,29.524,0.312,-0.454,1.024,1.683,0.654,-0.412,2.743,1.676,0.184,0.736,1.825,11.495,0.708,1.569,1.672,0.152,38.333,1.027,4.431,0.312,1
1.33,-3.005,1.291,1.56,1.272,1.61,0,3.439,1.724,0.602,0.948,44.661,0.08,-0.69,1.562,1.698,-0.124,-0.693,0,1.605,0.186,-0.292,1.607,11.587,-0.065,0.476,1.606,0.14,48.833,1.542,4.404,0.08,2
1.33,-3.005,1.285,1.433,1.449,2.801,0,2.721,1.722,0,0.923,27.791,0.344,-0.243,3.307,1.667,-0.575,-1.257,0,1.941,0.235,0.037,1.875,11.451,0.895,1.809,1.478,0.138,31.363,0.023,4.176,0.344,1
1.33,-3.005,1.289,1.542,3.13,2.532,0,2.845,1.72,0,0.84,24.517,0.391,-0.875,3.404,1.677,-1.126,-0.883,0,2.655,0.225,-1.141,1.948,11.445,0.998,2.08,2.649,0.14,34.833,3.39,3.95,0.391,1
1.33,-3.005,1.289,1.428,0.487,1.419,0,3.628,1.723,0,0.857,61.718,-0.342,-0.503,0.518,1.678,1.161,-0.462,0,1.473,0.229,0.888,1.416,17.003,-0.841,-0.948,1.402,0.138,20.548,0.657,4.027,-0.342,1
1.33,-3.005,1.287,1.548,1.935,2,3.13,2.846,1.719,0.647,0.814,24.405,0.385,-0.635,1.906,1.689,-0.641,-0.647,3.404,2.062,0.225,-0.612,1.948,11.403,0.959,2.119,2.059,0.14,34.833,1.908,3.825,0.385,2
1.33,-3.005,1.337,0.675,2.98,1.616,0,3.516,1.729,0.346,0.945,35.65,0.269,-0.618,2.361,1.667,-1.223,-0.359,0,1.671,0.182,-0.178,1.721,11.5,0.193,1.693,1.558,0.22,37.952,2.213,4.335,0.269,1
1.33,-3.005,1.27,1.363,2.143,2.424,5.125,2.736,1.762,0.754,0.942,35.976,0.2,-0.147,1.912,1.66,-0.648,-0.759,0.099,1.528,0.234,-0.457,1.674,11.533,0.439,1.641,1.098,0.134,29.193,1.872,4.263,0.2,1
1.33,-3.005,1.223,1.539,5.313,1.601,0,2.61,1.666,0,0.954,29.042,0.394,-0.95,0.743,1.462,-3.398,-0.568,0,2.32,0.246,-0.704,1.884,11.337,0.983,1.979,1.945,0.13,27.625,5.287,4.122,0.394,1
